request_id,request,reference,context,reference_created
476368974337766528,quand les républicains ont-ils gagné le vote populaire pour la dernière fois,"Les républicains ont remporté le vote populaire lors d'une élection présidentielle américaine pour la dernière fois en 2024, lors de la réélection de Donald Trump.","Lors des élections présidentielles américaines de 2024, le candidat républicain Donald Trump a remporté le vote populaire face à la candidate démocrate Kamala Harris, avec 49.3% des voix, contre 48.3%. Les républicains n'avaient pas gagné le vote populaire depuis 2004 avec l'élection de George W. Bush, même s'ils avaient remporté la présidence en 2016.",1
4993232957540670980,Quand est-ce que Pâques a eu lieu pour la dernière fois un 12 avril,Pâques a eu lieu pour la dernière fois un 12 avril en 2020.,"En 2020, le dimanche de Pâques était le 12 avril. Cela n'arrivera plus avant 2050",1
-1881286304870722165,Dans combien d'états s'étendent les Montagnes Rocheuses ?,Les Montagnes Rocheuses s'étendent sur six états américains et deux provinces canadiennes.,"Les Montagnes Rocheuses sont une grande chaîne de montagnes dans l'Ouest de l'Amérique du Nord. Les Montagnes Rocheuses s'étendent sur 6 états américains (Montana, Idaho, Wyoming, Utah, Colorado, Nouveau-Mexique) et 2 provinces canadiennes (Colombie-Britannique, Alberta) et sur plus de 3000 km de long.",1
5540701807690820559,nommez un pays voisin de l'inde qui est une république,"Le Pakistan, le Népal, le Bangladesh, la Chine, le Sri Lanka, les Maldives et l'Indonésie sont des pays voisins de l'Inde qui sont des républiques. (Un seul pays est nécessaire)","L'Inde possède des frontières terrestres ou maritimes avec les républiques suivantes:
Le Pakistan (république islamique),
le Népal (république fédérale parlementaire),
le Bangladesh (république unitaire parlementaire),
la Chine (république populaire),
le Sri Lanka (république semi-présidentielle),
les Maldives (république présidentielle),
 et l'Indonésie (république unitaire présidentielle)",1
3309140698422618645,qui a gagné america's got talent en 2015,Le gagnant d'America's Got Talent en 2015 était Paul Zerdin.,Paul Zerdin est un ventriloque et comédien britannique qui a remporté la saison 10 de l'émission America's Got Talent en 2015.,1
7818112641371223126,quel est le nom du stade des arizona cardinals,Le stade des Arizona Cardinals s'appelle le State Farm Stadium.,"Le stade de l'équipe de NFL des Arizona Cardinals s'appelle le State farm Stadium, il est situé à Glendale, Arizona. Ce stade était anciennement nommé University of Phoenix Stadium et les Arizona Cardinals y jouent depuis 2006.",1
7960403399608384663,Quand est-ce que les Lakers ont fait les playoffs la dernière fois,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025.,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025. Les Los Angeles Lakers ont été éliminés des playoffs par les Timberwolves du Minnesota au premier tour (1-4).,1
-721170466207849824,quand a été vue pour la dernière fois la comète de halley,La comète de Halley a été vue pour la dernière fois en 1986.,"La comète de Halley a été vue pour la dernière fois le 9 février 1986. Sa période étant de 76 ans environs, sa prochaine apparition (ou périhélie) est prévue pour 2061.",1
5064534131928384032,d'où part le Danube et jusqu'ou va-t'il,Le Danube prend sa source en Allemagne et se jette dans la mer Noire en Roumanie,"Le Danube est un fleuve qui traverse ou longe dix pays d'Europe. Il prend sa source dans la Forêt-Noire en Allemagne lorsque deux cours d’eau, la Brigach et la Breg, se rencontrent à Donaueschingen. Le delta du Danube s'ouvre sur la mer Noire : partagé entre la Roumanie et l'Ukraine.",1
-5824018452742426380,qui joue sam dans le seigneur des anneaux,"Dans la trilogie ""Le Seigneur des Anneaux"", le personnage de Sam est joué par l'acteur Sean Astin.","Dans la trilogie ""Le Seigneur des Anneaux"" de Peter Jackson, le personnage de Sam (Samsagace Gamegie) est joué par l'acteur Sean Astin. Sean Astin est un acteur américain qui a également joué dans les Goonies et Stranger Things.",1
846466415522403319,quand michael jordan fut enrôlé à la nba,Michael Jordan a été enrôlé à la NBA en 1984.,"Michael Jordan a été sélectionné par les Chicago Bulls lors de la draft NBA du 19 juin 1984. il a été choisi en 3e position, après Hakeem Olajuwon et Sam Bowie.",1
-3557268865091350602,quand est-ce que le samsung galaxy s8 est sorti,Le Samsung Galaxy S8 a été commercialisé à partir du 21 avril 2017 dans certains pays dont les Etats-Unis.,Le Samsung Galaxy S8 a été officiellement présenté le 29 mars 2017 et a été commercialisé à partir du 21 avril 2017 aux Etats-Unis et dans d'autres pays. Il est sorti en France et en Europe le 28 avril 2017.,1
-980836884486017537,Quel est l'immeuble le plus haut des États-Unis ?,L'immeuble le plus haut des États-Unis est le One World Trade Center.,"Le One World Trade Center, situé à New York, est le plus haut gratte-ciel des États-Unis. Inauguré en 2014, il culmine à 1 776 pieds (541 mètres) de hauteur.",1
-4766029169354683727,Qui interprète la chanson Love you like there's no tomorrow,Love Me Like There's No Tomorrow est une chanson de Freddie Mercury.,"""Love Me Like There's No Tomorrow"" est une chanson de Freddie Mercury, le chanteur du groupe Queen, sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy. Elle a été écrite par Mercury et produite par Reinhold Mack et Mercury.",1
-7219970968305775032,combien de sommets possède une pyramide à base carrée,Une pyramide à base carrée possède 5 sommets.,Une pyramide à base carrée possède 5 sommets: les 4 sommets du carré de la base plus 1 sommet au sommet de la pyramide.,1
